semmeddb_triggers
"['saline', 'toxic effect']"
"['vicks vaporub', 'hyperemia']"
"['epinephrine eye drops', 'glaucoma']"
"['epinephrine eye drops', 'tension']"
"['fluorides toothpaste', 'caries']"
"['aluminum hydroxide oral suspension bp', 'atherosclerosis']"
"['aluminum hydroxide oral suspension bp', 'hypercholesterolemia']"
"['amino acid injection solution', 'anemia']"
"['saline', 'cutaneous hypersensitivity']"
"[""tyrode's solution"", 'virus diseases']"
"['hydrocortisone ointments', 'contact dermatitis']"
"['hydrocortisone ointments', 'eczema']"
"['sleeping pill', 'poisoning']"
"['cough syrup', 'poisoning']"
"['epinephrine topical', 'unspecified corneal deposit']"
"['xylocaine jelly', 'respiratory tract infections']"
"['potassium permanganate crystals', 'eye injuries']"
"['hemorrhoidal supp,rtl', 'poisoning']"
"['mineral oil emulsion', 'hypersensitivity']"
"['talc powder', 'granuloma']"
"['iron dextran injectable', 'malignant neoplasms']"
"['sodium fluoride mouthwash', 'dental caries']"
"['oral form terbutaline', 'asthma']"
"['dimethyl sulfoxide - solution', 'psoriasis']"
"['lysine 1000 mg', 'recurrent herpes simplex']"
"['oral form ampicillin', 'anaphylactoid reaction']"
"['potassium chloride injectable solution', 'coronary artery insufficiency']"
"['potassium chloride injectable solution', 'myocardial necrosis']"
"['epinephrine topical', 'corneal diseases']"
"['amino acid injection solution', 'acidosis']"
"['oxygen 2 %', 'contraction']"
"['nitroglycerin topical ointment [nitrol]', 'congestive heart failure']"
"['sodium fluoride mouthwash', 'dental caries']"
"['timolol eye drops', 'intraocular pressure disorder']"
"['timolol eye drops', 'hypotensive']"
"['hydrochlorothiazide 100 mg', 'hypertensive disease']"
"['codeine 20 mg', 'adverse reaction to antitussives']"
"['saline', 'anuria']"
"['krebs-ringer solution', 'contraction']"
"['krebs-ringer solution', 'contracture']"
"['krebs-ringer solution', 'contracture']"
"['halotex solution', 'dermatitis, allergic contact']"
"['chloramphenicol ophthalmic ointment', 'anemia; profound']"
"['furosemide injectable solution', 'functional disorder']"
"['corticosteroids cream', 'contact dermatitis']"
"['askit powder', 'analgesic nephropathy']"
"['epinephrine topical', 'obstruction']"
"['epinephrine topical', 'macular retinal edema']"
"['deoxycorticosterone pellet', 'hypertensive disease']"
"[""ringer's acetate"", 'shock, hemorrhagic']"
"['krebs-ringer solution', 'edema']"
"['acetic acid solution', 'acute gastritis']"
"['efudex cream', 'morphologically altered structure']"
"['hydrocortone phosphate injection', 'asthma']"
"['oral form ampicillin', 'anaphylactoid reaction']"
"['papaverine injectable solution', 'hyperemia']"
"['papaverine injectable solution', 'reactive hyperemia']"
"['fluorides toothpaste', 'acne']"
"['sleeping pill', 'heart arrest']"
"['betamethasone enema', 'secondary hypocortisolism']"
"['estradiol pellet', 'tumor growth']"
"['oral form metoclopramide', 'gastroesophageal reflux disease']"
"['propranolol 80 mg', 'contraction']"
"['oxprenolol 80 mg', 'contraction']"
"['aspirin oral tablet', 'gastrointestinal loss']"
"['saline', 'lymphoblastic leukemia']"
"[""tyrode's solution"", 'edema']"
"[""tyrode's solution"", 'contraction']"
"[""tyrode's solution"", 'depolarization']"
"['soflens', 'corneal edema']"
"['mandelamine suspension', 'pneumonia, lipid']"
"['nitroglycerin topical ointment [nitrol]', 'contact dermatitis']"
"['xylocaine jelly', 'airway obstruction']"
"['monolayer', 'membrane alteration']"
"['amino acid solution', 'contraction']"
"['oral form clindamycin', 'colitis']"
"['atropine 0.3 mg', 'cardiac arrhythmia']"
"['cetylpyridinium lozenge', 'dental plaque']"
"['saline', 'congenital anomaly of aortic arch']"
"['digoxin injectable solution [lanoxin]', 'tachycardia, ventricular']"
"['diprosone ointment', 'generalized pustular psoriasis']"
"['petrolatum ointment', 'disease']"
"['monolayer', 'cytopathic effect']"
"['thyroid pwdr', 'hyperglycemia']"
"['estradiol pellet', 'morphologically altered structure']"
"['saline', 'calcium metabolism']"
